entity,name,prefix,reference,description,notes,entry-date,start-date,end-date
620000,Outline application submitted,planning-application-status,outline-application-submitted,,,2023-09-28,,
620001,Full application submitted,planning-application-status,full-application-submitted,,,2023-09-28,,
620002,Local planning authority document check,planning-application-status,local-planning-authority-document-check,,,2023-09-28,,
620003,Request missing document,planning-application-status,request-missing-document,,,2023-09-28,,
620004,Public consultation start,planning-application-status,public-consultation-start,,,2023-09-28,,
620005,Public consultation end,planning-application-status,public-consultation-end,,,2023-09-28,,
620006,Decision appealed,planning-application-status,decision-appealed,,,2023-09-28,,
620007,Appeal refused,planning-application-status,appeal-refused,,,2023-09-28,,
620008,Appeal granted,planning-application-status,appeal-granted,,,2023-09-28,,
620009,Application expired,planning-application-status,expired,Most applications have a time limit to start the work. If that time lapses then the application expires.,We weren't sure whether it should be called lapsed or expired,2024-01-18,,
