entity,name,prefix,reference,description,documentation-url,notes,permitted-development-right-class,permitted-development-right-part,entry-date,start-date,end-date
11500010,Means of access to a highway,permitted-development-right,2B,"The formation, laying out and construction of a means of access to a highway which is not a trunk road or a classified road, where that access is required in connection with development permitted by any Class in this Schedule (other than by Class A of this Part).",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/2/crossheading/class-b-means-of-access-to-a-highway/made,,B,2,2020-12-31,1995-01-01,
11500011,Exterior painting,permitted-development-right,2C,The painting of the exterior of any building or work,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/2/crossheading/class-c-exterior-painting/made,,C,2,2020-12-31,1995-01-01,
11500012,Electrical outlet for recharging vehicles,permitted-development-right,2D,"The installation, alteration or replacement, within an area lawfully used for off-street parking, of an electrical outlet mounted on a wall for recharging electric vehicles",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/2/crossheading/class-d-electrical-outlet-for-recharging-vehicles/made,,D,2,2020-12-31,1995-01-01,
11500013,Electrical upstand for recharging vehicles,permitted-development-right,2E,"The installation, alteration or replacement, within an area lawfully used for off-street parking, of an upstand with an electrical outlet mounted on it for recharging electric vehicles",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/2/crossheading/class-e-electrical-upstand-for-recharging-vehicles/made,,E,2,2020-12-31,1995-01-01,
11500014,Closed circuit television cameras,permitted-development-right,2F,"The installation, alteration or replacement on a building of a closed circuit television camera to be used for security purposes",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/2/crossheading/class-f-closed-circuit-television-cameras/made,,F,2,2020-12-31,1995-01-01,
11500150,"Moveable structures for pubs, restaurants etc",permitted-development-right,2G,"The provision of one moveable structure within the curtilage, and for the purposes, of a building used for a purpose within article 3(6)(p) or (q) (drinking establishments etc.) of the Use Classes Order; or Class E(b) (sale of food and drink etc.) of Schedule 2 to that Order.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/2/crossheading/class-g-moveable-structures-for-pubs-restaurants-etc,,G,2,2024-01-19,2022-01-02,
11500015,"Casino, betting office, pay day loan shop or hot food takeaway to commercial, business and service",permitted-development-right,3A,"Development consisting of a change of use of a building from a use falling within one of the following provisions: casino; betting office; pay day loan shop; or hot food takeaway to a use falling within Class E (commercial, business and service) of Schedule 2 to that Order.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-a-restaurants-cafes-takeaways-or-pubs-to-retail,,A,3,2024-01-19,2021-08-01,
11500151,Drinking establishments with expanded food provision,permitted-development-right,3AA,"Development consisting of a change of use of a building and any land within its curtilage from a use falling within article 3(6)(p) (public house, wine bar, or drinking establishment) of the Use Classes Order to a use falling within article 3(6)(q) (drinking establishment with expanded food provision) of that Order; or from a use falling within article 3(6)(q) to a use falling within article 3(6)(p).",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-aadrinking-establishments-with-expanded-food-provision,,AA,3,2024-01-19,2017-05-23,
11500016,Takeaways or pubs to restaurants and cafes,permitted-development-right,3B,"Development consisting of a change of use of a building from a use falling within Class A4 (drinking establishments) or Class A5 (hot food takeaways) of the Schedule to the Use Classes Order, to a use falling within Class A3 (restaurants and cafes) of that Schedule.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-b-takeaways-or-pubs-to-restaurants-and-cafes/made,,B,3,2020-12-31,1995-01-01,2021-08-01
11500017,"Retail, betting office or pay day loan shop or casino to restaurant or cafe",permitted-development-right,3C,"Development consisting of: (a) a change of use of a building from a use, (i) falling within Class A1 (shops) or Class A2 (financial and professional services) of the Schedule to the Use Classes Order, (ii) as a betting office or pay day loan shop, or (iii) as a casino,to a use falling within Class A3 (restaurants and cafes) of the Schedule to the Use Classes Order; (b) building or other operations for the provision of facilities for (i) ventilation and extraction (including the provision of an external flue), and (ii) the storage of rubbish,reasonably necessary to use the building for a use falling within Class A3 (restaurants and cafes) of that Schedule.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-c-retail-betting-office-or-pay-day-loan-shop-or-casino-to-restaurant-or-cafe/made,,C,3,2020-12-31,1995-01-01,2021-08-01
11500018,Shops to financial and professional,permitted-development-right,3D,"Development consisting of a change of use of a building within its curtilage from a use falling within Class A1 (shops) of the Schedule to the Use Classes Order, to use falling within Class A2 (financial and professional services) of that Schedule",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-d-shops-to-financial-and-professional/made,,D,3,2020-12-31,1995-01-01,2021-08-01
11500019,Financial and professional or betting office or pay day loan shop to shops,permitted-development-right,3E,"Development consisting of a change of use of a building with a display window at ground floor level from: (a) a use falling within Class A2 (financial and professional services) of the Schedule to the Use Classes Order, or (b)a use as a betting office or a pay day loan shop, to a use falling within Class A1 (shops) of the Schedule to the Use Classes Order.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-e-financial-and-professional-or-betting-office-or-pay-day-loan-shop-to-shops/made,,E,3,2020-12-31,1995-01-01,2021-08-01
11500020,Betting offices or pay day loan shops to financial and professional,permitted-development-right,3F,Development consisting of a change of use of a building from a use as a betting office or a pay day loan shop to a use falling within Class A2 (financial and professional services) of the Schedule to the Use Classes Order,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-f-betting-offices-or-pay-day-loan-shops-to-financial-and-professional/made,,F,3,2020-12-31,1995-01-01,2021-08-01
11500021,"Change of use from commercial, business and service or betting office or pay day loan shop to mixed use including 2 flats",permitted-development-right,3G," Development consisting of a change of use of a building—

(a)from a use within Class E (commercial, business and service) of Schedule 2 to the Use Classes Order, to a mixed use for any purpose within that Class and as up to 2 flats;]
(c)from a use within article 3(6)(n) (betting office) or 3(6)(o) (pay day loan shop) of the Use Classes Order, to a mixed use for any purpose within Class E (commercial, business and service) of Schedule 2 to that Order and as up to 2 flats;]
(e)from a use [F6falling within article 3(6)(n) (betting office) or 3(6)(o) (pay day loan shop) of the Use Classes Order] to a mixed use [F6falling within article 3(6)(n) (betting office) or 3(6)(o) (pay day loan shop) of the Use Classes Order] and as up to 2 flats.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-g-retail-or-betting-office-or-pay-day-loan-shop-to-mixed-use/made,,G,3,2024-01-19,2021-08-01,
11500022,"Mixed use to commercial, business and service or betting office or pay day loan shop",permitted-development-right,3H,"Development consisting of a change of use of a building—

(a)from a mixed use for any purpose within Class E (commercial, business and service) of Schedule 2 to the Use Classes Order and as up to 2 flats, to a use for any purpose within that Class;]
(c)from a mixed use within article 3(6)(n) (betting office) or 3(6)(o) (pay day loan shop) of the Use Classes Order and as up to 2 flats, to use for any purpose within Class E (commercial, business and service) of Schedule 2 to that Order;]
(e)from a mixed use [F6within article 3(6)(n) (betting office) or 3(6)(o) (pay day loan shop) of the Use Classes Order] and as up to 2 flats to a use [F6within article 3(6)(n) (betting office) or 3(6)(o) (pay day loan shop) of the Use Classes Order] .",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-h-mixed-use-to-retail,,H,3,2024-01-19,2021-08-01,
11500023,Industrial conversions,permitted-development-right,3I,"Development consisting of a change of use of a building—

(a)from any use falling within Class B2 (general industrial) or B8 (storage or distribution) of the Schedule to the Use Classes Order, to a use for any purpose falling within Class B1 (business) of that Schedule;
(b)from any use falling within Class B1 (business) or B2 (general industrial) of the Schedule to the Use Classes Order, to a use for any purpose falling within Class B8 (storage or distribution) of that Schedule.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-i-industrial-and-general-business-conversions/made,,I,3,2024-01-19,2021-08-01,
11500024,Retail or betting office or pay day loan shop to assembly and leisure,permitted-development-right,3J,"Development consisting of a change of use of a building from a use:
(a) falling within Class A1 (shops) or Class A2 (financial and professional services) of the Schedule to the Use Classes Order,
(b) as a betting office or pay day loan shop",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-j-retail-or-betting-office-or-pay-day-loan-shop-to-assembly-and-leisure/made,,J,3,2020-12-31,1995-01-01,2021-08-01
11500152,"Retail, takeaway, betting office, pay day loan shop, and launderette uses to offices",permitted-development-right,3JA,"Development consisting of a change of use of a building from—
(a)a use falling within Class A1 (shops), Class A2 (financial and professional services), or Class A5 (hot food takeaways) of the Schedule to the Use Classes Order, or
(b)a use as a betting office, pay day loan shop or launderette,
to a use falling within Class B1(a) (offices) of that Schedule.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-ja-retail-takeaway-betting-office-pay-day-loan-shop-and-launderette-uses-to-offices,,JA,3,2024-01-24,,2021-08-01
11500025,Casinos to assembly and leisure,permitted-development-right,3K,Development consisting of a change of use of a building from a use as a casino to a use falling within Class D2 (assembly and leisure) of the Schedule to the Use Classes Order.,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-k-casinos-to-assembly-and-leisure/made,,K,3,2020-12-31,1995-01-01,2021-08-01
11500026,Small HMOs to dwellinghouses and vice versa,permitted-development-right,3L,"Development consisting of a change of use of a building:
(a) from a use falling within Class C4 (houses in multiple occupation) of the Schedule to the Use Classes Order,
(b) from a use falling within Class C3 (dwellinghouses) of the Schedule to the Use Classes Order",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-l-small-hmos-to-dwellinghouses-and-vice-versa/made,,L,3,2020-12-31,1995-01-01,
11500027,"Certain uses (launderette, betting office etc) to residential use (Class C3) ",permitted-development-right,3M,"Development consisting of—

(a)a change of use of a building from—
(i)a use falling within one of the following—
(aa)launderette;
(bb)betting office;
(cc)pay day loan shop;
(dd)hot food takeaway; or
(ii)a mixed use combining use as a dwellinghouse with a use falling within one of the uses mentioned in paragraph (i)(aa), (bb) or (cc) (whether that use was granted permission under Class G of this Part or otherwise);
to a use falling within Class C3 (dwellinghouses) of Schedule 1 to the Use Classes Order; or
(b)development referred to in sub-paragraph (a) together with building operations reasonably necessary to convert the building to a use falling within Class C3 (dwellinghouses).]",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-m-retail-or-betting-office-or-pay-day-loan-shop-to-dwellinghouses,,M,3,2024-01-19,2021-08-01,
11500153,"Commercial, business use and service use (Class E) to residential use Class C3) ",permitted-development-right,3MA,"Development consisting of a change of use of a building and any land within its curtilage from a use falling within Class E (commercial, business and service) of Schedule 2 to the Use Classes Order to a use falling within Class C3 (dwellinghouses) of Schedule 1 to that Order.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-ma-commercial-business-and-service-uses-to-dwellinghouses,,MA,3,2024-01-19,2021-04-21,
11500028,Specified sui generis uses to dwellinghouses,permitted-development-right,3N,"Development consisting of:
(a) a change of use of a building and any land within its curtilage from a use as—
(i) an amusement arcade or centre,
(ii) a casino,
(b) building operations reasonably necessary to convert the building referred to in paragraph (a) to a use falling within Class C3 (dwellinghouses) of that Schedule.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-n-specified-sui-generis-uses-to-dwellinghouses/made,,N,3,2020-12-31,1995-01-01,
11500029,Offices to dwellinghouses,permitted-development-right,3O,"Development consisting of a change of use of a building and any land within its curtilage from a use falling within Class B1(a) (offices) of the Schedule to the Use Classes Order, to a use falling within Class C3 (dwellinghouses) of that Schedule.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-o-offices-to-dwellinghouses,,O,3,2020-12-31,1995-01-01,2021-08-01
11500030,Storage or distribution centre to dwellinghouses,permitted-development-right,3P,Development consisting of a change of use of a building and any land within its curtilage from a use falling within Class B8 (storage or distribution centre) of the Schedule to the Use Classes Order to a use falling within Class C3 (dwellinghouses) of that Schedule,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-p-storage-or-distribution-centre-to-dwellinghouses,,P,3,2020-12-31,1995-01-01,2019-06-10
11500154,Premises in light industrial use to dwellinghouses,permitted-development-right,3PA,Development consisting of a change of use of a building and any land within its curtilage from a use falling within Class B1(c) (light industrial) of the Schedule to the Use Classes Order to a use falling within Class C3 (dwellinghouses) of that Schedule.,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-pa-premises-in-light-industrial-use-to-dwellinghouses,,PA,3,2024-01-31,2016-04-06,2017-09-30
11500031,Agricultural buildings to dwellinghouses,permitted-development-right,3Q,"Development consisting of:
(a) a change of use of a building and any land within its curtilage from a use as an agricultural building to a use falling within Class C3 (dwellinghouses) of the Schedule to the Use Classes Order; and
(b) building operations reasonably necessary to convert the building referred to in paragraph (a) to a use falling within Class C3 (dwellinghouses) of that Schedule",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-q-agricultural-buildings-to-dwellinghouses/made,,Q,3,2020-12-31,1995-01-01,
11500032,Agricultural buildings to a flexible commercial use,permitted-development-right,3R,"Development consisting of a change of use of a building and any land within its curtilage from a use as an agricultural building to a flexible use falling within Class A1 (shops), Class A2 (financial and professional services), Class A3 (restaurants and cafes), Class B1 (business), Class B8 (storage or distribution), Class C1 (hotels) or Class D2 (assembly and leisure) of the Schedule to the Use Classes Order.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-r-agricultural-buildings-to-a-flexible-commercial-use/made,,R,3,2020-12-31,1995-01-01,
11500033,Agricultural buildings to state-funded school,permitted-development-right,3S,Development consisting of a change of use of a building and any land within its curtilage from a use as an agricultural building to use as a state-funded school [falling within Class F.1(a) (provision of education) of Schedule 2 to the Use Classes Order] .,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-s-agricultural-buildings-to-statefunded-school-or-registered-nursery,,S,3,2024-01-19,2021-08-01,
11500034,"Commercial, business and service, hotels etc to state-funded schools",permitted-development-right,3T,"Development consisting of a change of use of a building and any land within its curtilage from a use falling within one of the following provisions of the Use Classes Order—
(a)Class C1 (hotels) of Schedule 1;
(b)Class C2 (residential institutions) of Schedule 1;
(c)Class C2A (secure residential institutions) of Schedule 1; or
(d)Class E (commercial, business or service) of Schedule 2,
to use as a state-funded school falling within Class F.1(a) of Schedule 2 to that Order.]",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-t-business-hotels-etc-to-statefunded-schools-or-registered-nursery,,T,3,2024-01-19,2021-08-01,
11500035,Return to previous use from converted state-funded school or registered nursery,permitted-development-right,3U,Development consisting of a change of use of land from a use permitted by Class T to the previous lawful use of the land,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-u-return-to-previous-use-from-converted-statefunded-school-or-registered-nursery/made,,U,3,2020-12-31,1995-01-01,
11500036,Changes of use permitted under a permission granted on an application,permitted-development-right,3V,"Development consisting of a change of use of a building or other land from a use permitted by planning permission granted on an application, to another use which that permission would have specifically authorised when it was granted.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/3/crossheading/class-v-changes-of-use-permitted-under-a-permission-granted-on-an-application/made,,V,3,2020-12-31,1995-01-01,
11500037,Temporary buildings and structures,permitted-development-right,4A,"The provision on land of buildings, moveable structures, works, plant or machinery required temporarily in connection with and for the duration of operations being or to be carried out on, in, under or over that land or on land adjoining that land",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/4/crossheading/class-a-temporary-buildings-and-structures/made,,A,4,2020-12-31,1995-01-01,
11500038,Temporary use of land,permitted-development-right,4B,"The use of any land for any purpose for not more than 28 days in total in any calendar year, of which not more than 14 days in total may be for the purposes of:
(a) the holding of a market;
(b) motor car and motorcycle racing including trials of speed,
and the provision on the land of any moveable structure for the purposes of the permitted use.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/4/crossheading/class-b-temporary-use-of-land/made,,B,4,2020-12-30,1995-01-01,
11500155,Additional temporary use of land during the relevant period,permitted-development-right,4BA,,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/4/crossheading/class-ba-additional-temporary-use-of-land-during-the-relevant-period,,BA,4,2024-01-31,2020-06-25,2021-12-31
11500156,"Moveable structures for historic visitor attractions and listed pubs, restaurants etc",permitted-development-right,4BB,"The provision of one moveable structure within the curtilage, and for the purposes, of—

(a)a listed building used for a purpose within—
(i)article 3(6)(p) or (q) (drinking establishments etc.) of the Use Classes Order; or
(ii)Class E(b) (sale of food and drink etc.) of Schedule 2 to that Order; or
(b)a historic visitor attraction.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/4/crossheading/class-bb-moveable-structures-for-specified-uses,,BB,4,2024-01-19,2022-01-02,
11500157,Temporary recreational campsites,permitted-development-right,4BC,"Development consisting of—

(a)the use of any land as a recreational campsite for not more than 60 days in total in any calendar year; and
(b)the provision on such land of—
(i)not more than 50 pitches; and
(ii)any moveable structure reasonably necessary for the purposes of the permitted use.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/4/crossheading/class-bc-temporary-recreational-campsites,,BC,4,2024-01-19,2023-07-26,
11500039,Temporary use of a building or land as a use as a state-funded school for 2 academic years,permitted-development-right,4C,The use of a building and any land within its curtilage as a state-funded school falling within Class F.1(a) (provision of education) of Schedule 2 to the Use Classes Order for 2 academic years.,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/4/crossheading/class-c-use-as-a-statefunded-school-for-a-single-academic-year,,C,4,2024-01-19,2021-08-01,
11500158,Temporary state-funded school on previously vacant land,permitted-development-right,4CA,Development consisting of the provision of temporary school buildings on vacant commercial land and the use of that land as a state-funded school [falling within Class F.1(a) (provision of education) of Schedule 2 to the Use Classes Order] for up to 3 academic years.,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/4/crossheading/class-ca-provision-of-a-temporary-statefunded-school-on-previously-vacant-commercial-land,,CA,4,2024-01-19,2021-08-01,
11500159,Temporary provision of buildings for a school with a RAAC-affected building,permitted-development-right,4CB,The temporary provision of buildings on school land where the school has a RAAC-affected building.,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/4/crossheading/class-cb-temporary-provision-of-buildings-for-a-school-with-a-raacaffected-building,,CB,4,2024-01-19,2023-10-25,
11500040,"Commercial, business and service etc to temporary flexible use",permitted-development-right,4D,"Development consisting of a change of use of a building and any land within its curtilage—

(a)from a use falling within one of the following provisions of the Use Classes Order—
(i)article 3(6)(n) (betting office);
(ii)article 3(6)(o) (pay day loan shop);
(iii)article 3(6)(r) (hot food takeaway); or
(iv)Class E (commercial, business and service) of Schedule 2,
(b)to a flexible use falling within one of the following provisions of Schedule 2 to that Order—
(i)Class E (commercial, business and service);
(ii)Class F.1(b) (display of art);
(iii)Class F.1(c) (museum);
(iv)Class F.1(d) (public library or public reading room); or
(v)Class F.1(e) (public hall or exhibition hall),
for a single continuous period of up to [F33 years] beginning on the date the building and any land within its curtilage begins to be used for the flexible use or on the date given in the notice under paragraph D.2(a), whichever is the earlier.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/4/crossheading/class-d-shops-financial-cafes-takeaways-pubs-etc-to-temporary-flexible-use,,D,4,2024-01-19,2021-08-01,
11500160,"Restaurants and cafes, drinking establishments and drinking establishments with expanded food provision to temporarily provide takeaway food",permitted-development-right,4DA,,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/4/crossheading/class-da,,DA,4,2024-01-31,2020-03-24,2022-03-24
11500041,Temporary use of buildings or land for film-making purposes,permitted-development-right,4E,"Development consisting of:
(a) the temporary use of any land or buildings for a period not exceeding 9 months in any 27 month period for the purpose of commercial film-making; and
(b) the provision on such land, of any temporary structures, works, plant or machinery required in connection with that use.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/4/crossheading/class-e-temporary-use-of-buildings-or-land-for-filmmaking-purposes/made,,E,4,2020-12-31,1995-01-01,
11500042,Use of land as caravan site,permitted-development-right,5A,"The use of land, other than a building, as a caravan site in the circumstances referred to in paragraph A.2.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/5/crossheading/class-a-use-of-land-as-caravan-site/made,,A,5,2020-12-31,1995-01-01,
11500043,Development on caravan site required by conditions,permitted-development-right,5B,Development required by the conditions of a site licence for the time being in force under the 1960 Act.,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/5/crossheading/class-b-development-on-caravan-site-required-by-conditions/made,,B,5,2020-12-31,1995-01-01,
11500044,Use of land by members of certain recreational organisations,permitted-development-right,5C,"The use of land by members of a recreational organisation for the purposes of recreation or instruction, and the erection or placing of tents on the land for the purposes of the use",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/5/crossheading/class-c-use-of-land-by-members-of-certain-recreational-organisations/made,,C,5,2020-12-31,1995-01-01,
11500045,Agricultural development on units of 5 hectares or more,permitted-development-right,6A,"The carrying out on agricultural land comprised in an agricultural unit of 5 hectares or more in area of:
(a) works for the erection,
(b) any excavation or engineering operations",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/6/crossheading/class-a-agricultural-development-on-units-of-5-hectares-or-more/made,,A,6,2020-12-31,1995-01-01,
11500046,Agricultural development on units of less than 5 hectares,permitted-development-right,6B,"The carrying out on agricultural land comprised in an agricultural unit, of not less than 0.4 but less than 5 hectares in area, of development consisting of:
(a) the extension or alteration of an agricultural building;
(b) the installation of additional or replacement plant or machinery;
(c) the provision, main, pipe, cable or other apparatus;
(d) the provision,
(e) the provision of a hard surface;
(f) the deposit of waste; or
(g) the carrying out of any of the following operations in connection with fish farming, repairing ponds and raceways; the installation of grading machinery, aeration equipment or flow meters and any associated channel; the dredging of ponds; and the replacement of tanks and nets,where the development is reasonably necessary for the purposes of agriculture within the unit.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/6/crossheading/class-b-agricultural-development-on-units-of-less-than-5-hectares/made,,B,6,2020-12-31,1995-01-01,
11500047,Mineral working for agricultural purposes,permitted-development-right,6C,The winning and working on land held or occupied with land used for the purposes of agriculture of any minerals reasonably necessary for agricultural purposes within the agricultural unit of which it forms part,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/6/crossheading/class-c-mineral-working-for-agricultural-purposes/made,,C,6,2020-12-31,1995-01-01,
11500048,Forestry developments,permitted-development-right,6E,"The carrying out on land used for the purposes of forestry, including afforestation, of development reasonably necessary for those purposes consisting of:
(a) works for the erection,
(b) the formation,
(c) operations on that land, to obtain the materials required for the formation, alteration or maintenance of such ways;
(d) other operations (not including engineering or mining operations)",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/6/crossheading/class-e-forestry-developments/made,,E,6,2020-12-31,1995-01-01,
11500049,"Extensions etc of commercial, business or service premises",permitted-development-right,7A,"The extension or alteration of a commercial, business or service establishment.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/7/crossheading/class-a-extensions-etc-of-shops-or-financial-or-professional-premises,,A,7,2024-01-19,2021-08-01,
11500050,Construction of shop trolley stores,permitted-development-right,7B,The erection or construction of a trolley store within the curtilage of a shop,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/7/crossheading/class-b-construction-of-shop-trolley-stores/made,,B,7,2020-12-31,1995-01-01,
11500051,Click and collect facilities,permitted-development-right,7C,Development consisting of the erection or construction of a collection facility within the curtilage of a shop,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/7/crossheading/class-c-click-and-collect-facilities/made,,C,7,2020-12-31,1995-01-01,
11500052,Modification of shop loading bays,permitted-development-right,7D,Development consisting of modification of a loading bay of a shop,https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/7/crossheading/class-d-modification-of-shop-loading-bays/made,,D,7,2020-12-31,1995-01-01,
11500053,"Hard surfaces for commercial, business or service etc premises",permitted-development-right,7E,"Development consisting of—
(a)the provision of a hard surface within the curtilage of a building used for a purpose falling within one of the following provisions of the Use Classes Order—
(i)article 3(6)(p) (drinking establishments etc);
(ii)article 3(6)(q) (drinking establishment with expanded food provision);
(iii)article 3(6)(r) (hot food takeaway); or
(iv)Class E (commercial, business and service) of Schedule 2; or]
(b)the replacement in whole or in part of such a surface.",https://www.legislation.gov.uk/uksi/2015/596/schedule/2/part/7/crossheading/class-e-hard-surfaces-for-shops-catering-or-financial-or-professional-premises,,E,7,2024-01-19,2021-08-01,
