entity,name,prefix,reference,description,notes,entry-date,start-date,end-date
640000,Office for Place exemplar,design-code-characteristic,exemplar,,,2023-09-28,,2024-03-04
640001,Context,design-code-characteristic,context,,,2023-09-28,,
640002,Identity,design-code-characteristic,identity,,,2023-09-28,,
640003,Built form,design-code-characteristic,built-form,,,2023-09-28,,
640004,Movement,design-code-characteristic,movement,,,2023-09-28,,
640005,Nature,design-code-characteristic,nature,,,2023-09-28,,
640006,Public spaces,design-code-characteristic,public-spaces,,,2023-09-28,,
640007,Uses,design-code-characteristic,uses,,,2023-09-28,,
640008,Homes and buildings,design-code-characteristic,homes-and-buildings,,,2023-09-28,,
640009,Resources,design-code-characteristic,resources,,,2023-09-28,,
640010,Lifespan,design-code-characteristic,lifespan,,,2023-09-28,,
