entity,name,prefix,reference,description,notes,entry-date,start-date,end-date
11400001,Development within the curtilage of a dwellinghouse,permitted-development-right-part,1,,,2024-02-06,1995-01-01,
11400002,Minor operations,permitted-development-right-part,2,,,2024-02-06,1995-01-01,
11400003,Changes of use,permitted-development-right-part,3,,,2024-02-06,1995-01-01,
11400004,Temporary buildings and uses,permitted-development-right-part,4,,,2024-02-06,1995-01-01,
11400005,Caravan sites and recreational campsites,permitted-development-right-part,5,,,2024-02-06,1995-01-01,
11400006,Agricultural and forestry,permitted-development-right-part,6,,,2024-02-06,1995-01-01,
11400007,"Non-domestic extensions, alterations etc",permitted-development-right-part,7,,,2024-02-06,1995-01-01,
11400008,Transport related development,permitted-development-right-part,8,,,2024-02-06,1995-01-01,
11400009,Development relating to roads,permitted-development-right-part,9,,,2024-02-06,1995-01-01,
11400010,Repairs to services,permitted-development-right-part,10,,,2024-02-06,1995-01-01,
11400011,Heritage and demolition,permitted-development-right-part,11,,,2024-02-06,1995-01-01,
11400012,Development by local authorities,permitted-development-right-part,12,,,2024-02-06,1995-01-01,
11400020,Development by Local Authorities and Health Service Bodies,permitted-development-right-part,12A,,,2024-02-06,2020-04-09,
11400013,Water and sewerage,permitted-development-right-part,13,,,2024-02-06,1995-01-01,
11400014,Renewable energy,permitted-development-right-part,14,,,2024-02-06,1995-01-01,
11400015,Power related development,permitted-development-right-part,15,,,2024-02-06,1995-01-01,
11400016,Communications,permitted-development-right-part,16,,,2024-02-06,1995-01-01,
11400017,Mining and mineral exploration,permitted-development-right-part,17,,,2024-02-06,1995-01-01,
11400018,Miscellaneous development,permitted-development-right-part,18,,,2024-02-06,1995-01-01,
11400019,Development by the Crown or for national security purposes,permitted-development-right-part,19,,,2024-02-06,1995-01-01,
11400021,Construction of New Dwellinghouses,permitted-development-right-part,20,,,2024-02-06,2020-08-01,
